Constellation, Prolificness, Asia, America, Europe, Middle East, Oceania 
CON macedonian 001,17.395604395604398,3.8461538461538467,3.7802197802197806,5,3.769230769230769,1,[['CON tukano 011', 0.9230769230769231], ['CON arabic_arabian_peninsula 0200', 0.9230769230769231], ['CON korean 219', 0.9230769230769231], ['CON arabic_ancient 0399', 0.9230769230769231], ['CON chinese 039', 0.9230769230769231], ['CON arabic_lunar_stations 0399', 0.9230769230769231], ['CON blackfoot 001', 0.8571428571428572], ['CON macedonian 001', 1], ['CON hawaiian_starlines NAH', 1], ['CON siberian Elk', 1], ['CON western_rey BgD', 1], ['CON sardinian 003', 1], ['CON belarusian 001', 1], ['CON mongolian 003', 1], ['CON norse 005', 1], ['CON lokono 008', 1], ['CON egyptian 001', 1], ['CON inuit 006', 1]]
CON macedonian 016,16.367632367632368,2.857142857142857,0.9090909090909091,8.832167832167832,2.769230769230769,1,[['CON arabic_ancient 1499', 0.9230769230769231], ['CON arabic_al-sufi CrB', 0.9230769230769231], ['CON arabic_lunar_stations 1499', 0.9230769230769231], ['CON romanian Hra', 0.9230769230769231], ['CON blackfoot 004', 0.9090909090909091], ['CON western_rey CrB', 0.9090909090909091], ['CON chinese 087', 0.8571428571428572], ['CON macedonian 016', 1], ['CON korean 250', 1], ['CON western CrB', 1], ['CON chinese_contemporary CrB', 1], ['CON western_hlad CrB', 1], ['CON sardinian 006', 1], ['CON belarusian 005', 1], ['CON norse 001', 1], ['CON tongan 010', 1], ['CON western_SnT CrB', 1]]
CON arabic_arabian_peninsula 4202,15,1,3,5,3,3,[['CON arabic_arabian_peninsula 4202', 1], ['CON maori 003', 1], ['CON arabic_ancient 4202', 1], ['CON sami 003', 1], ['CON romanian Trf', 1], ['CON sardinian 011', 1], ['CON tupi 005', 1], ['CON belarusian 009', 1], ['CON norse 003', 1], ['CON bugis 007', 1], ['CON lokono 004', 1], ['CON tongan 003', 1], ['CON anutan 002', 1], ['CON inuit 009', 1], ['CON arabic_lunar_stations 4202', 1]]
CON ruelle Cru,13.0,2.4,1.2,5.800000000000001,0,3.5999999999999996,[['CON hawaiian_starlines HAN', 1.2], ['CON western Cru', 1.2], ['CON chinese_contemporary Cru', 1.2], ['CON maori 001', 1.2], ['CON western_hlad Cru', 1.2], ['CON western_rey Cru', 1.2], ['CON chinese 187', 1.2], ['CON lokono 001', 1.2], ['CON tongan 001', 1.2], ['CON western_SnT Cru', 1.2], ['CON ruelle Cru', 1]]
CON arabic_arabian_peninsula 2801,11,1,0,6,4,0,[['CON arabic_arabian_peninsula 2801', 1], ['CON western CMi', 1], ['CON chinese_contemporary CMi', 1], ['CON arabic_ancient 2801', 1], ['CON western_hlad CMi', 1], ['CON ruelle CMi', 1], ['CON western_rey CMi', 1], ['CON romanian Ctl', 1], ['CON arabic_al-sufi CMi', 1], ['CON western_SnT CMi', 1], ['CON arabic_lunar_stations 2801', 1]]
CON arabic_arabian_peninsula 300,10.88888888888889,2,0,4.888888888888889,2,2,[['CON western_rey Cas', 0.8888888888888888], ['CON arabic_arabian_peninsula 300', 1], ['CON hawaiian_starlines IWA', 1], ['CON western Cas', 1], ['CON chinese_contemporary Cas', 1], ['CON western_hlad Cas', 1], ['CON sardinian 010', 1], ['CON mongolian 002', 1], ['CON egyptian 004', 1], ['CON tongan 011', 1], ['CON western_SnT Cas', 1]]
CON western UMi,10.856410256410257,1,0.9230769230769231,8,0.9333333333333333,0,[['CON arabic_al-sufi UMi', 0.9333333333333333], ['CON aztec 004', 0.9230769230769231], ['CON western UMi', 1], ['CON chinese_contemporary UMi', 1], ['CON western_hlad UMi', 1], ['CON ruelle UMi', 1], ['CON western_rey UMi', 1], ['CON romanian UMi', 1], ['CON belarusian 016', 1], ['CON norse 004', 1], ['CON western_SnT UMi', 1]]
CON indian N13,8.282828282828282,3.707070707070707,0,2.797979797979798,0.8888888888888888,0.8888888888888888,[['CON korean 192', 0.9090909090909091], ['CON western Crv', 0.9090909090909091], ['CON chinese_contemporary Crv', 0.9090909090909091], ['CON hawaiian_starlines MEE', 0.8888888888888888], ['CON arabic_ancient 5299', 0.8888888888888888], ['CON western_hlad Crv', 0.8888888888888888], ['CON japanese_moon_stations 28', 0.8888888888888888], ['CON indian N13', 1], ['CON western_SnT Crv', 1]]
CON indian N07,7,1,1,1,3,1,[['CON indian N07', 1], ['CON blackfoot 002', 1], ['CON arabic_ancient 2802', 1], ['CON belarusian 008', 1], ['CON egyptian 019', 1], ['CON tongan 002', 1], ['CON arabic_lunar_stations 2802', 1]]
CON indian N22,7,3,0,2,1,1,[['CON indian N22', 1], ['CON korean 055', 1], ['CON arabic_ancient 1799', 1], ['CON ruelle Aql', 1], ['CON romanian Fap', 1], ['CON chinese 093', 1], ['CON anutan 008', 1]]
