Source, Target, Value 
western,chinese_contemporary,99.68493939785805
arabic_arabian_peninsula,arabic_lunar_stations,49.122807017543856
arabic_ancient,arabic_lunar_stations,45.13833992094862
sardinian,norse,30.76923076923077
arabic_arabian_peninsula,arabic_ancient,22.950819672131146
blackfoot,norse,22.07792207792208
maori,tongan,21.428571428571427
norse,inuit,21.428571428571427
maori,norse,20.0
belarusian,norse,18.181818181818183
maori,tupi,17.17171717171717
tupi,norse,17.17171717171717
siberian,mongolian,16.666666666666664
western_hlad,western_SnT,15.937704282075144
sardinian,tongan,15.789473684210526
lokono,tongan,15.789473684210526
korean,chinese,15.78432019469593
sardinian,mongolian,15.384615384615385
sardinian,belarusian,14.814814814814813
belarusian,tongan,14.814814814814813
blackfoot,tongan,14.685314685314685
western,western_SnT,14.3293689237557
chinese_contemporary,western_SnT,14.3293689237557
blackfoot,siberian,14.285714285714288
hawaiian_starlines,tongan,14.285714285714285
western_rey,western_SnT,13.893372733351553
blackfoot,sardinian,13.586413586413586
hawaiian_starlines,mongolian,13.333333333333334
maori,lokono,13.333333333333334
maori,inuit,13.333333333333334
norse,lokono,13.333333333333334
norse,tongan,13.333333333333334
blackfoot,belarusian,13.172541743970317
maori,bugis,12.5
siberian,norse,12.5
blackfoot,mongolian,12.244897959183675
tupi,inuit,11.805555555555555
hawaiian_starlines,maori,11.76470588235294
mongolian,norse,11.11111111111111
western,western_hlad,11.028824698878
chinese_contemporary,western_hlad,11.028824698878
macedonian,sardinian,10.826210826210827
sami,inuit,10.526315789473683
sardinian,lokono,10.0
sardinian,inuit,10.0
lokono,inuit,10.0
tukano,lokono,9.615384615384617
chinese_contemporary,western_rey,9.590523363775976
bugis,tongan,9.523809523809524
aztec,norse,9.230769230769232
